"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Brenton Strange","TE","JAX","8","11","125.6","3.6","5.5","10.04","4","In his third year in the league, Strange was given the keys to the Jacksonville TE room with the departure of Evan Engram. There was a clear connection with Trevor Lawrence, as Strange had a 77% catch rate, including five weeks as TE10 or better.  Unfortunately, he was out for five weeks due to injury, and now the team double-dipped in the TE well with rookies Nate Boerkircher and Tanner Koziol. We are fairly high on the Jags offense and the value of Trevor Lawrence this year, making Strange a potential cheap late-round pick. If you have a deeper bench, Strange might be worth a shot to see how the team looks out of the gate.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Ferguson","TE","DAL","10","12","125.3","5.3","6.4","9.09","4","The offensive weapons for Dallas were a delight for fantasy managers last season, simply because the defense was nonexistent. Fergalicious took advantage, especially in Weeks 3 through 6 when CeeDee Lamb was out finishing as the TE4, TE5, TE2, and TE10 during those weeks. He set career highs in receptions (82) and TDs (8), but the contributions fell off in the second half. The trained eye will say Ferguson will be due for some TD regression. However, you can trust in the fact that the Dallas D won’t be fixed overnight, making Fergy-Ferg a late-round target who should still get a fair amount of dump-offs in this offense.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mark Andrews","TE","BAL","7","13","124.6","4.0","5.5","9.10","4","With Isaiah Likely signing with the New York Giants, all of a sudden, Mark Andrews has life again. The TE19 finish of last season was far from extraordinary, especially as he bottomed out over the final month of the season. Expected TD regression came as well, dropping from 11 to five. Woof. The Ravens didn’t add any huge names TE-wise in the draft - apologies, Matthew Hibner and Josh Cuevas - so the runway exists for Andrews to have a bounce-back season, especially if he can keep up with his red zone target share. He was close to 30% last season.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Kittle","TE","SF","14","14","121.0","5.1","5.4","9.12","4","Oh, George. Times are tough. It is hard to get behind an almost 33-year-old TE heading into his 10th NFL season who is coming off an Achilles injury. If anyone can do it, you know it is Kittle; he has given us six seasons where he has finished as the TE5 or higher! The physical freak who has publicly said he is targeting an early-season return could be a value in fantasy drafts, if he drops far enough. Pair him with a vanilla-reliable TE that you can use confidently in the first half of your season, knowing you can pop Kittle on your IR. If he comes back even close to his past form late in the season, you have some options in your playoff push. We don’t suggest even entertaining the option unless you have multiple IR spots.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chig Okonkwo","TE","WAS","10","15","115.1","3.8","5.2","13.03","4","Chig had his moments in Tennessee, flashing some YAC-ability but never quite being a consistent fantasy threat. He signed a three-year contract with the Washington Commanders, breathing new life into his fantasy prospects on a roster that desperately needs another pass-catcher opposite WR Terry McLaurin. You won’t have to pay too much to take a shot on the guy, so why not? He looks like an easy stash or waiver wire pickup early in the season. Chig is not dead for fantasy yet, we say!","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Schultz","TE","HOU","6","16","114.6","3.1","4.4","9.10","4","“Dr. Schultz” definitely took some sabbatical weeks in 2025 - clocking eight weeks where he finished as the TE20 or worse. Ick. But then he also had some weeks where he was the dude, slicing and dicing in the operating room, finishing as the TE11 or better seven times. It was tough to anticipate what version of Schultz we were going to get in 2025, making starting him every week a scary decision. A lot will ride on whether Stroud can return to that magical rookie season production. He has had at least 85 targets in the past six seasons, but TDs have never seemed to be his thing. Schultz is a low-ceiling, later-round option in redraft this season.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Kincaid","TE","BUF","7","17","114.6","5.8","7.5","8.03","4","After his rookie season finish of TE11 in 2023, it has been downhill ever since for the guy we were hoping to become Josh Allen’s No. 1 target. His 49 targets only translated to 571 yards, five TDs, and a TE15 finish. With Joe Brady stepping in as HC, the offense should look similar, but there is no guarantee. The team added DJ Moore in the offseason to finally give Allen a WR1, and TE Dawson Knox continues to be another solid receiving option; remember, everybody eats in Buffalo. You won’t feel confident heading into this season with Kincaid as the only TE on your roster as four targets per game will not get it done in the TE fantasy streets.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dallas Goedert","TE","PHI","9","18","114.1","5.3","6.0","9.08","4","The TE3(!) in 2025 returns to Philly with the talented rookie Eli Stowers breathing down his neck. After a league-leading 11 TDs last season - the same as Trey McBride, on half as many receiving yards (591) - we can expect some TD regression. It will be tough to start him every week in redraft, especially with all of the offensive options in Philly.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Oronde Gadsden","TE","LAC","12","19","107.5","3.5","5.8","8.07","5","Fifth-round draft pick Gadsden broke all the Chargers' rookie TE records last year as he finished with 49 receptions on 69 targets, 664 yards receiving, and three TDs. However, keep in mind that 241 of those yards came in two weeks. It was looking like the potential was high for 2026 with the addition of OC Mike McDaniel, but then the team had to go and sign David Njoku. Throw in blocking TE Charlie Kolar and FB Alec Ingold, and Gadsden’s path to fantasy relevance in redraft this year has gotten circuitous at best. Despite the alluring upside, 2026 feels like a tough route for Gadsden to be counted on in fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenyon Sadiq","TE","NYJ","","20","104.0","4.6","5.4","10.07","5","Sadiq’s impressive athletic profile (remember when he broke almost every record at the NFL Combine?) catapulted him into the first round, heading to the New York Jets at pick 16. The question marks related to his usage at Oregon remain, as fantasy managers must question if a man who couldn’t top 600 receiving yards during his final year in college will be successful as a Jet with Geno Smith under center? He could end up second or third on the team in targets behind WR Garrett Wilson and RB Breece Hall, while competing with fellow rookie Omar Cooper Jr. Oh, and there is also a feline in Mason Taylor in the room that Sadiq has to overtake on the depth chart. Between you and me, a dawg always wins over a cat. You probably aren’t counting on Sadiq right away in redraft this year, but his time will eventually come.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isaiah Likely","TE","NYG","7","21","102.7","3.8","4.8","11.01","5","Remember Week 1 of the 2024 season when Likely had over 100 yards receiving and a TD, and the entire fantasy community went, wait whaaaat? Mhmm. The man is now out of Mark Andrews’ shadow and ready to live large in New York. Target-wise, the big competition is Malik Nabers, and behind him are the likes of Darius Slayton, Darnell Mooney, and fellow TE Theo Johnson.  We are following the money ($26 million guaranteed) and his connection with John Harbaugh in assuming that Likely will be a significant part of this offense. You don’t have to go after him early to invest in this late-round flier.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"T.J. Hockenson","TE","MIN","6","22","100.9","4.1","5.2","12.04","5","After three TE4 or better finishes in three out of four years, Hockenson fell and fell hard. He saw 66 mostly forgettable targets in 2025. He was unstartable almost every week until he tapped out for the final two weeks of the season due to a shoulder injury. The Vikings’ offense will look different this season with either Kyler or “Nine” under center, and with Justin Jefferson and Jordan Addison still there, it is hard to consider him in redraft this season, at least until you see how the usage pans out.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Juwan Johnson","TE","NO","11","23","99.1","3.8","5.2","10.02","5","There have been whispers in the bushes every year about a potential Juwan Johnson breakout season, and we finally got it in 2025! His TE10 finish was the best of his career on the back of 529 routes run, the fifth most for the position. It was the rapport with QB Tyler Shough that really greased the gears, and they should be ready to come out firing to start the season. The team added offensive weapons with eighth-overall pick Jordyn Tyson, Travis Etienne Jr., and TEs Oscar Delp and Noah Fant, which likely eats into his target volume. Going off draft boards past TE15 territory means you can shoot your shot with the former basketballer if you had a fun ride last year.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pat Freiermuth","TE","PIT","5","24","95.9","4.2","3.8","","6","Is the Muth still Luth? Unfortunately, the answer might be no with only 486 yards receiving and four TDs in 2025. The team gets back the one and only Aaron Rodgers, who had 67% of his passing yardage come after the catch, the highest rate in the NFL. With Mike Tomlin and Jonnu Smith out and Mike McCarthy and Michael Pittman Jr. in, it is up in the air how this offense will function. Look, it’s ok to just say no in fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cade Otton","TE","TB","9","25","93.4","3.8","3.8","14.01","6","All hail the ultimate cardio king! Otton ran the fourth most routes among TEs in 2025 (540!) and was on the field for the third most passing plays (625!). Obviously, he crushed it in fantasy football, right? RIGHT? Exactly. Otton finished the season with only one TD, reminding us that fantasy football and real-life football regularly do not align. On a team full of offensive weapons, including two solid pass-catching RBs, Otton’s time in the sun is almost set. But hey, if your league gets fantasy points for getting your steps in, Otton should be the first off the board.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"AJ Barner","TE","SEA","8","26","90.3","3.9","4.2","12.01","6","With Noah Fant out of the picture, the TE position was up for grabs in Seattle, and Barner did a decent job showing he should be the guy moving forward. Finishing as the TE14, he had a decent 64 targets, which turned into 519 yards and six TDs. His 18 looks in the red zone were stellar too, just two fewer than JSN. He remains too volatile in redraft, especially with fellow Seahawk Elijah Arroyo still in the mix. Barner had finishes as high as TE1 and as low as TE58 last year. It would be tough to stomach the amount of Tums we would need to ride that roller coaster.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colby Parkinson","TE","LAR","8","27","87.4","4.1","4.8","13.03","6","After five seasons of “who’s that guy” in Los Angeles, 2025 turned into “hey, I know that guy” for Colby Parkinson. He set career highs in targets (56), yards (408), and TDs (8!!). The TDs are certainly an outlier, but he was a certifiable red zone weapon, seeing 22 red zone targets inside the 20, just three shy of Puka Nacua. We are paying attention, Mr. Parkinson. The only problem is  Sean McVay loves TEs, and with a crowded room, you won’t know what weeks to start Parkinson or any of the other Rams TEs.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"David Njoku","TE","LAC","9","28","82.3","5.3","3.9","12.06","6","Njoku is joining the Chargers on a one-year deal, and he joins a room with the new hotness, Oronde Gadsden, and blocking TE Charlie Kolar. Njoku was quickly usurped by rookie Harold Fannin Jr. in Cleveland last season, so it is unclear how he will be used in Mike McDaniel’s offense. You need to keep an eye on how the team functions and read the tea leaves in case you need to grab him from waivers early in the season.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Gesicki","TE","CIN","10","29","81.9","3.6","5.6","","6","Remember those magical “Sticky Gesicki” weeks a few seasons back? Never forget. Gesicki’s great weeks in 2024 primarily made their appearances when Tee Higgins was out of the lineup, and then in 2025, things got even more confusing with QB Joe Burrow missing nine weeks. Gesicki only had a 9.4% target share last season and will always be left battling on that front with talents like Ja’Marr Chase and Higgins on the field. If he is on your roster, you are only entertaining starting him if one of those WRs is out, and for a guy who only had two receiving TDs in 2025, you don’t need that nonsense.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Greg Dulcich","TE","MIA","12","30","81.2","5.1","4.6","","6","You may have forgotten about the curly-locked, marvelous-mustached Greg D, especially since he has done close to nothing fantasy-wise during his four years so far in the NFL. The best we saw from him was a TE30 finish in his rookie season in Denver. However, Greg showed glimmers of promise at the end of last season finishing second in yards per route run among TEs from Week 9 onward. Miami desperately needs pass-catchers considering a WR core of Malik Washington, Jalen Tolbert, and Tutu Atwell in South Florida. No offense to those guys, but it puts Dulcich in a great position to potentially be the target leader for new QB Malik Willis. Greg D also finished second among all TEs in YAC/catch, only behind Tucker Kraft. He is a name to monitor throughout camp as he potentially could be an early season waiver pickup.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cole Kmet","TE","CHI","5","31","79.9","3.5","3.7","","6","The offensive weapons in Chicago are plenty, and Kmet tried desperately to contribute in 2025. Unfortunately, the 347 receiving yards on 48 targets - although helpful for the NFL team - were not helpful for our fantasy squads. We all know that Colston Loveland is the present and future for this franchise, so any hope of using Kmet in redraft is out the window, barring an injury. And don’t you dare put that into the universe!","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Gunnar Helm","TE","TEN","10","32","76.9","4.2","4.3","14.05","6","There was mixed chatter around Helm as he started his NFL career with the downtrodden Titans. He was the team's TE2 behind our pinup boy Chig (learning from the best, amirite?), and he put together a sneaky decent season. He had three TE11 finishes or better, and this was with a QB who was sacked 55 (!) times and had the third-worst 59% completion rate. Helm’s usage increased after his Week 10 bye, going from 8.7% target share to 13.1%. With Chig Okonkwo heading to the Commanders, the opportunity is there, making him an interesting prospect to keep an eye on, especially in deeper leagues.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Evan Engram","TE","DEN","12","33","75.3","2.7","1.7","","6","When Engram went to Denver in 2025, fantasy managers were hopeful that Sean Payton might have found his new Joker, but the role never really panned out. Engram set a career low in 2025 with 28.8 yards per game and finished the season with only one receiving TD, leaving us wondering if the TE6 and TE2 finishes of a few years prior were the outliers. Do not get your hopes up too much – the team traded for Jaylen Waddle in the offseason, added rookie Justin Joly in the draft, and, the most important part of the puzzle, they still have Adam Trautman. Targets will be even tougher to command, and you will never know when to start him - just remember the good times.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dawson Knox","TE","BUF","7","34","65.0","2.5","2.8","","7","It is super cool being tied to Josh Allen and a high-flying offense, but neither is enough to push Knox into the draftable range in redraft. It has been a good long while since his TE8 season of 2021. Never forget.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mason Taylor","TE","NYJ","9","35","64.9","4.1","3.6","13.04","7","Meow. Would you be shocked to find out that Mason Taylor led the Jets in targets in 2025? Me. Too. The main reason was that Garrett Wilson was shut down early due to injury, and there was truly nothing else in town offensively. The second round selection in 2025 is immediately trounced by the drafting of athletic freak TE Kenyon Sadiq. Find Taylor a patch of sunshine and let him curl up. He does not belong in fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Luke Musgrave","TE","GB","5","36","59.4","4.7","3.8","","7","The Packers double-dipped in the TE in the 2023 NFL Draft, and even though Tucker Kraft has had the breakout season, it was Musgrave whom the team took earlier (second round). Musgrave had a chance to show why he was drafted earlier when Kraft went down with his ACL injury in Week 9, but he did nothing with the opportunity. He averaged just over two targets a game from Week 10 on, only marginally better than the 1.25 a week he was averaging with Kraft on the field. Either way you slice it, not great.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Eli Stowers","TE","PHI","","37","58.9","6.3","5.6","13.07","7","The consensus TE2 behind Sadiq heading into the NFL Draft is now connected to one of the NFC perennial powers. After a final year at Vandy, where he won the 2025 John Mackey award as college football’s top TE, Stowers' production profile was quite strong, leading the class in targets per route run. Stowers will be listed as a TE, but he is essentially a big hybrid WR/TE who actually began college as a QB. He will be behind Dallas Goedert on the depth chart, making him hard to roster in redraft in 2026 outside of an injury.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Theo Johnson","TE","NYG","14","38","58.5","4.2","4.1","13.10","7","Johnson was putting together a decent sophomore season in 2025, highlighted by an average of 4.9 targets a game and a budding connection with Jaxson Dart. However, he missed the final two weeks of the season with an unspecified illness, ending the year with a whimper. All was looking promising until John Harbaugh came to New York and brought Isaiah Likely with him. Now Johnson is the TE2, dropping out of the redraft conversation. What a roller coaster.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Terrance Ferguson","TE","LAR","8","39","57.0","5.1","4.4","13.09","7","Ferg-Daddy 2.0 is one of many TEs in Sean McVay’s crowded TE room, including the likes of Tyler Higbee, Colby Parkinson, and rookie Max Klare. We had high hopes for him in his rookie season. He didn’t deliver, running the fourth fewest routes among the team’s TEs and gaining only a 5% target share.  Ferguson did show off via the deep ball as he was the league leader among TEs in deep targets (20+ yards) with 15. Tyler Higbee and Davante Adams are not getting any younger, so perhaps we see a patented second-year breakout from the Oregon TE.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Tavion Sanders","TE","CAR","14","40","56.3","4.0","3.9","","7","Sanders is recovering from a broken fibula and will be battling with Tommy Tremble for the top option at the TE position in Carolina this season. You don’t really want a TE on a team with a QB who averaged under 200 yards passing a week, do you? Do you?","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Elijah Arroyo","TE","SEA","8","41","48.9","4.5","4.4","","7","With only a 7.7% target share and 15 catches on 26 targets, Arroyo is clearly the TE2 behind AJ Barner on the Super Bowl-winning squad. The team had the third fewest pass attempts in the NFL in 2025, so you aren’t investing in the TE2 in redraft this year.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Noah Gray","TE","KC","10","42","48.6","4.3","2.3","","7","As much as we like to admit that Travis Kelce will never retire, the man is cake tasting and choosing floral arrangements. The end is near, but is Gray the next man up? Mahomes has never trusted Gray enough to give him more than one season of 49 targets. He will pop up for a TD here and there, but even in the deepest of TE premium leagues, he is not roster-worthy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Darnell Washington","TE","PIT","5","43","46.3","4.6","3.1","","7","Big Darnell (6’7”) continues to be one of the best run blocking TEs in football, but he has very little to offer when it comes to fantasy production in redraft. You are not even looking his way without an injury to the Muth, but even then, would it be anything but cursory? It is cool to just say no, thank you, and slowly walk away.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tommy Tremble","TE","CAR","14","44","45.4","3.5","3.4","","7","Quick, name the best TE on the Carolina Panthers roster. Exactly! On paper, Tommy “High-T” Tremble looks to be the TE1, but with 249 yards receiving and two TDs in 2025, you have to look twice: he is a blocking-first TE. With Ja’Tavion Sanders and Mitchell Evans rounding out this ragtag bunch of hooligans, if you are asked at your draft which Carolina TE you should go for this season, shake your head disappointingly and respond, “None, thank you.”","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Mayer","TE","LV","8","45","44.6","4.8","2.5","","7","Always the bridesmaid, never the bride. Mayer will be the TE2 as long as Brock Bowers is a Raider. But wait, you say…Mayer must have tons of value when Bowers is out of the lineup, right? RIGHT? He did give you one TE5 week when Bowers was sidelined last year, but during the other week, he was TE41. This former 2nd round NFL draft pick will be valuable in 12-personnel sets to the Raiders but not for fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Max Klare","TE","LAR","","46","44.3","5.4","4.6","20.06","7","Before transferring to Ohio State for his final year, Klare was a production monster at Purdue and showcased target-earning ability that could intrigue at the next level. Unfortunately, his first-year prospects are dim as he was selected by the Rams, who collect TEs like it is going out of style. Los Angeles has Colby Parkinson, Tyler Higbee, Terrance Ferguson, and Davis Allen on the roster, making the rookie just another guy in the room. Sean McVay has shown a strong proclivity to running 13-personnel, so we know Klare will be rotated in.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
