"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Patrick Mahomes","QB","KC","10","17","350.6","5.3","8.2","9.06","5","After a year in which the Chiefs failed to make the playoffs, and Mahomes tore his left ACL in Week 15, we have to reassess the aura surrounding the Kansas City QB. It is going to be really fascinating to track his recovery all offseason as he comes off the ACL plus LCL surgery. For fantasy, it is highly unlikely we will see the rushing production we saw in 2025, when Mahomes set career highs in per-game rushing attempts, yards, and TDs. The Chiefs are gifted with a “third-place” schedule and a core group willing to go for one more title run. The addition of Kenneth Walker III could take some pressure off Mahomes trying to Superman this thing every week. For fantasy purposes, he is a low-end QB1 with a name carrying more weight in your home leagues than actual fantasy-winning production.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Shough","QB","NO","11","18","344.9","4.3","7.3","13.02","5","Tyler Shough truthers, take a bow. Entering the 2025 NFL Draft cycle, a lot was made about Shough's age, but credit to New Orleans, they seem to have found a diamond in the rough. Over his final five starts, he averaged 20 fantasy points per game, a 70% completion percentage, and 27 rushing yards per game. He unlocked Chris Olave and showed out with the best completion percentage in the intermediate area of the field (11-19 yards). Believe in Kellen Moore as a play-caller and the addition of eighth overall pick Jordyn Tyson to the WR room. Shough is one of our favorite late-round targets in drafts.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyler Murray","QB","MIN","8","19","342.0","7.0","7.7","13.09","5","The Kyler Murray era in Arizona officially came to a close with the Cardinals releasing the former No. 1 overall pick in early March. Still just 28 years old, Kyler will look to get his career back on track in Minnesota, perhaps following the path of guys like Kirk Cousins and Sam Darnold. Expect the team to frame this as a QB competition throughout the summer, but if you watched JJ ""Nine"" McCarthy play NFL football in 2025, you likely know where this is headed in terms of the Week 1 starter. We are still keeping the light on for Kyler to return to being a top-10 fantasy QB.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordan Love","QB","GB","5","20","330.6","3.3","5.2","11.06","5","Love's 23 passing TDs and 3300+ yards might not stand out, but efficiency has always been the name of his game. He ranked sixth in Passer Rating, seventh in completion percentage over expectation, and tied Patrick Mahomes for 12th in fantasy points per dropback.  He remains one of the more polarizing starters in the league, as we have seen some really high-end play at times, yet he hasn't put it all together for a full season. For fantasy purposes, we are viewing Love as a streamer to start the season as Green Bay begins the year favored in each of their first six matchups.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Ward","QB","TEN","10","21","320.0","4.6","6.0","16.10","6","The Titans took Cam Ward first overall in the 2025 NFL Draft, and this is the perfect example of what can happen to a young, talented QB in their first year in the league. No disrespect to the good folks of Nashville, but this was set up to fail from the get-go as the Titans trailed on 72% of his dropbacks, fifth highest in the NFL. He tied Geno Smith for the most sacks taken (55!) and finished with just one top-12 finish on the year, albeit against Super Bowl Champion Seattle in Week 12. The addition of Wan’Dale Robinson and fourth overall pick Carnell Tate gives him a shot at a Year 2 breakout. However, unless he starts running more, Ward will likely be left amongst a pile of other QBs you could stream, but need a big spike in TD rate to matter.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Willis","QB","MIA","5","22","318.2","5.3","8.0","12.08","6","Willis' time in Tennessee was pretty forgettable, to say the least. The team took him in the third round back in 2022 and moved on after just three starts in two years. However, he landed in Green Bay as Jordan Love's backup and now has a chance to revitalize his career as a starter after getting some great coaching from Matt LaFleur. We have seen other young QBs (Baker Mayfield, Sam Darnold, Daniel Jones, for example) take similar paths: dumped by their original organization, sit and learn for a couple of years as a backup, and then get a second chance at a starting gig elsewhere. Could Willis be next? For fantasy, the Dolphins project to be among the worst teams in the league with straight buns at WR, but we know his mobility (41, 73, & 60 rushing yards in three starts last year) works at the QB position for the game we play. Willis certainly has the wheels to put up fantasy-friendly numbers and is worth monitoring early on in the year as a streamer.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"C.J. Stroud","QB","HOU","6","23","313.8","4.2","6.1","14.10","6","The decline is painful to watch as Stroud went from fantasy darling as a rookie in 2023 to an afterthought and liability the last two seasons. He has averaged just 218 passing yards per game with six total top-12 finishes, the same number he totaled as a rookie. With arguably the best defense in the NFL, the Texans do not need Stroud to put up gaudy numbers to compete. He is stuck in redraft purgatory as a QB likely sitting on your waiver wire to be picked up only for plus matchups.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sam Darnold","QB","SEA","8","24","308.0","4.0","6.2","14.12","6","Oh, the tales we get to tell our grandchildren about Sam Darnold resurrecting from the fantasy grave! The Super Bowl Champion has 60(!) passing TDs over the last two seasons (tied for fifth most in the NFL) with the second-best yards per pass attempt (8.2) in that span. His passing volume declined down the stretch as Seattle came up with a winning formula, leaning on the run and a play-action-based offense that hyper-targeted Jaxon Smith-Njigba. We are happy for the man Darnold, but he still belongs only in the streaming fantasy category despite his success.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Daniel Jones","QB","IND","11","25","297.0","7.5","6.3","17.04","6","For the first eight weeks of the season, Jones was the QB6, averaging 20.5 fantasy points per game and a scintillating 71% completion percentage. The Colts were 8-2 heading into their Week 11 bye, and then the world came crashing down with a brutal season-ending Achilles tear. Our injury timeline suggests he will be limited throughout the off-season and could be compromised early in the 2026 season, especially as a runner.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacoby Brissett","QB","ARI","8","26","290.3","4.5","6.2","17.10","7","Where’s the Beef? Brissett was cookin’ last year for fantasy purposes, averaging over 40 pass attempts per game in his starts. His nine consecutive top-12 fantasy finishes were the most of 2025, thanks in large part to the team trailing on 73% of his dropbacks. Despite the fact that the Cardinals went 1-11 in his starts, he remains the incumbent veteran starter with Kyler Murray now donning Viking purple. He remains on the streaming radar, although we expect the passing volume to slightly decrease with new head coach Mike LaFleur calling the shots.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bryce Young","QB","CAR","14","27","287.8","4.0","5.4","17.04","7","First, the good: Young led his Panthers to an NFC South title and a close loss to the Rams in the Wild Card Round of the Playoffs. He also set career-highs in completion percentage (64%), passing TDs (23), and rush attempts. Yet, he exceeded 20+ fantasy points in just three games on the season and felt impossible to get a read on week-to-week. The NFC South is a weak division, but unless we see a spike in his scramble rate and pass attempts, topping 25 passing TDs would be a small miracle. It feels tough finding routes for Young to break through as anything more than a mid-QB2 for fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Aaron Rodgers","QB","PIT","5","28","285.4","7.0","3.8","","7","Rodgers spent the majority of last offseason pondering his NFL future before landing in Pittsburgh on a one-year deal with Mike Tomlin. In classic Steelers fashion, Rodgers did enough to help them stay competitive and make the playoffs, but they ultimately fell short in the Wild Card Round. Back with the Steelers again, at this point in his career, the vet isn't really on the radar for fantasy outside of 2QB formats.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Geno Smith","QB","NYJ","8","29","273.6","4.9","3.9","","7","You cannot make this stuff up - the Jets traded for Geno Smith, coming full circle on a player they once took in the second round of the NFL Draft way back in 2013! He was a shell of himself last year in Las Vegas, ranking dead last among all QBs in sack rate (10.6%) and INTs (17). For fantasy purposes, Geno is off the radar, but we would be satisfied if he gives Garrett Wilson 200 targets. At some point, expect the Jets to eventually replace him with fourth-round rookie Cade Klubnik for a few starts as they look to 2027’s QB class.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Shedeur Sanders","QB","CLE","9","30","230.7","8.1","5.8","19.11","7","Sanders wasn’t that bad, right? Welp, after checking the numbers, we can report back that it was hot garbage ranking dead last in catchable target rate (66.5%), completion percentage (56.6%), and Passer Rating (68.1). He did have one week for fantasy (QB2 vs. TEN in Week 14) that gave you a glimpse of the upside, but there is no guarantee for him to be the long-term solution for Cleveland. We are monitoring the off-season news and new HC Todd Monken’s words regarding the competition between Sanders and Deshaun Watson. Even in SuperFlex leagues, we shy away from expecting anything out of the former fifth-round pick.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Penix Jr.","QB","ATL","5","31","156.6","5.3","4.7","20.02","8","The Falcons were roasted for surprisingly taking Penix eighth overall in 2024, and the results thus far are barf-worthy. In two seasons, Penix has started 12 total games while completing less than 60% of his passes. For context, that ranks 29th among 33 QBs taken in the first round of NFL Drafts over the last decade. He suffered a torn ACL in Week 11 last year, and off-season reports suggest the team is not rushing his rehab with Tua Tagovailoa now in tow as competition.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kirk Cousins","QB","LV","5","32","131.4","8.1","4.8","","8","After two middling years in Atlanta, Cousins signed a “five-year” contract with Las Vegas, but only $11.3 million was guaranteed. He reunites with Klint Kubiak, who was his play-caller during his time in Minnesota. Expect Captain Kirk to potentially start the beginning of the season before giving way to No. 1 overall pick Fernando Mendoza. In other words, Cousins is a first-round pick in your “QB-mentors-only” leagues but off the radar for fantasy in any other format.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Fernando Mendoza","QB","LV","","33","130.9","8.8","6.7","16.08","8","Mendoza’s storybook college career is one of the most compelling parts of the No. 1 overall pick. From his humble beginnings as a lightly recruited three-star QB to transferring to Indiana and having a season for the ages, which ended in an undefeated national championship. He jumped in every single meaningful statistical category and became Indiana’s first-ever Heisman Trophy winner and the first in the Big Ten since 2006. The Raiders are starting fresh with play-caller Klint Kubiak at the helm. In Year 1, Mendoza will likely take some lumps. He is off the redraft radar, waiting his turn to start behind veteran Kirk Cousins.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tua Tagovailoa","QB","ATL","12","34","113.3","5.1","4.3","20.10","8","Tua’s time in Miami came to a crashing end as he was cut for an NFL-record $99.2 million in dead cap money. The Falcons, scooping up every known left-handed QB in the universe, signed him for the veteran minimum ($1 million) to pair with Michael Penix Jr., who is returning from a season-ending ACL injury. Tua’s yards per attempt declined in three straight seasons (8.9 > 8.3 > 7.2 > 6.9), signaling that the former fifth overall pick’s best days are likely behind him. Nevertheless, he could begin the season as Atlanta’s starter, but is irrelevant to the fantasy conversation.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Carson Beck","QB","ARI","","35","26.3","8.0","6.5","","8","The Cardinals selected Beck in the third round, making him the third QB taken in the draft. His experience (43 college starts) certainly helped his cause after the team brought him in for a top-30 visit. He can get the ball out quickly on 3-step drops and hit his receivers in stride in zone coverage. His arm strength is subpar, but it should not shock anyone if Beck ends up finishing the season as the Cardinals' starting QB on a team destined for a top-5 pick.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Deshaun Watson","QB","CLE","9","36","19.1","6.3","4.3","","8","This is a tricky situation in Cleveland. We have not seen Watson be meaningful in fantasy since (checks… rechecks) 2020! Seriously, he averaged 13.2 fantasy points per game in 18 starts over multiple years, dealing with injuries and the scrutiny of NFL fans and the media. He will battle Shedeur Sanders for first-team reps this summer, but is nowhere near consideration for fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
